,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,"To download as your own editable file, simply press File,",,,
,,"then choose Make a Copy, Save as Google Sheets, or Download!",,,
,,,,,
,,,,,
,,,,,
,,,,LAST UPDATED ,12/3/2025
,,,,CUSTOMER NAME ,
DOE Vendor ID: LIC117661,,,,EMAIL ,
36-56 34th St.,,,,PHONE ,
"Long Island City, NY 11106",,,,Requested Delivery Date : ,N/A
E: ORDERS@KOMMISSARY.COM     P: 888-676-2892,,,,Delivery Window : ,School Hours
,,,,,
SCHOOL ADDRESS,,,,SHIP TO :,
,,,,,
,,,,,
,,,,,
,,,,Attention: ,
,,,,,
Ice Cream or Sandwich included: (Formula),,,,No,
,,,,,
PAGE,CATEGORY,DESCRIPTION,QTY ORDERED,PRICE,TOTAL $
,Kit,Shelf Stable Pantry Kit,,$25.00,$0.00
,Kit,Shelf Stable Pantry Kit in Drawstring Bag,,$27.00,$0.00
,Kit,Female Hygiene Kits *NEW CONTENTS !,,$25.00,$0.00
,Kit,Male Hygiene Kits * NEW CONTENTS !,,$25.00,$0.00
,Kit,Kommissary Laundry Kit,,$70.00,$0.00
,"Christmas: 
Kit","Kommissary Christmas Kit
(A Set of a Box and a Bag)",,$60.00,$0.00
,Bundle,The Dorm Room Chef,,$500.00,$0.00
,Bundle,The Snack Stash,,$500.00,$0.00
,Bundle,The Guilt-free Goodies,,$500.00,$0.00
,Bundle,The Glow Up Pack,,$500.00,$0.00
2,ICE CREAM,Blue Bunny Chocolate Ice Cream Cup (48 pk/4 oz) *Kosher,,$48.00,$0.00
2,ICE CREAM,Blue Bunny Vanilla Ice Cream Cup (48 pk/4 oz) *Kosher,,$48.00,$0.00
2,ICE CREAM,Blue Bunny Strawberry Ice Cream Cup (48 pk/4 oz) *Kosher,,$48.00,$0.00
2,ICE CREAM,Luigi's Italian Ice Cherry Intermezzo Cup (72 pk/4 oz) *Kosher,,$81.00,$0.00
2,ICE CREAM,Luigi's Italian Ice Lemon Intermezzo Cup (72 pk/4 oz) *Kosher,,$81.00,$0.00
2,ICE CREAM,Luigi's Italian Ice Orange Intermezzo Cup (72 pk/4 oz) *Kosher,,$81.00,$0.00
2,ICE CREAM,Haagen-Dazs Strawberry Ice Cream Cup (12 pk/3.6 oz) *Kosher,,$32.00,$0.00
2,ICE CREAM,Haagen-Dazs Dulce de Leche Ice Cream Cup (12 pk/3.6 oz) *Kosher,,$32.00,$0.00
2,ICE CREAM,Haagen-Dazs Vanilla Ice Cream Cup (12 pk/3.6 oz) *Kosher,,$32.00,$0.00
3,ICE CREAM,Good Humor Cookie & Cream Ice Cream Oreo Bar (24 ct/4 oz) *Kosher,,$48.00,$0.00
3,ICE CREAM,Good Humor Strawberry Shortcake Ice Cream Bar (24 ct/4 oz) *Kosher,,$48.00,$0.00
3,ICE CREAM,Good Humor Chocolate Eclair Ice Cream Bar (24 ct/4 oz) *Kosher,,$48.00,$0.00
3,ICE CREAM,Haagen-Dazs Chocolate Coated Vanilla Bar (12 ct/3 oz) *Kosher,,$54.00,$0.00
